task,variant,mean_auc,std_auc
3021,full,0.9421922841396202,0.01131999382252057
3021,no_consistency,0.9509968020684494,0.00899566089131622
3021,no_group_mask,0.9400013608219364,0.011146768181138371
3021,mask_aware,0.9526706130502824,0.008001378406741493
2079,full,0.8102298920849803,0.015132181457899215
2079,no_consistency,0.8065586904951787,0.013602969259714126
2079,no_group_mask,0.8117914514849768,0.01201577103182311
2079,mask_aware,0.8071685762981259,0.015083977244113308
14954,full,0.7618824996104099,0.012788055626572346
14954,no_consistency,0.7593891226429795,0.009235176805378898
14954,no_group_mask,0.7594670406732118,0.01089905865065437
14954,mask_aware,0.7692847124824684,0.008520542354034951
146800,full,0.9369379699698728,0.004409242632506456
146800,no_consistency,0.9467528516967315,0.0035638264564978174
146800,no_group_mask,0.9414693428056045,0.006855500133433752
146800,mask_aware,0.9265495929687679,0.0013375429574267429
